# z, u, v, w
1.590000000000000000e+02 4.756041130628282154e+00 3.955141345802084984e+00 1.274988123967904344e-10
1.650000000000000000e+02 4.756995276545588069e+00 3.953887277010770696e+00 7.099449815420690388e-11
1.710000000000000000e+02 4.758112964693913760e+00 3.952400961147883418e+00 2.375913804971595870e-10
1.770000000000000000e+02 4.759225000479616163e+00 3.950996255130267532e+00 3.013601821736007008e-10
1.830000000000000000e+02 4.760498217720845027e+00 3.949493013164218969e+00 -1.346215670024858871e-10
1.890000000000000000e+02 4.761544384611809733e+00 3.948354254693864807e+00 -1.021586114302521072e-10
1.950000000000000000e+02 4.762930059382055603e+00 3.947121762902745079e+00 4.515747608760996789e-11
2.010000000000000000e+02 4.763892185120539580e+00 3.946203013928943459e+00 -1.455324240544168689e-10
2.070000000000000000e+02 4.765157204316705197e+00 3.945588059497247890e+00 -8.570061092319849919e-11
2.130000000000000000e+02 4.766200202011606990e+00 3.945050656228152874e+00 -1.446337767166665986e-10
2.190000000000000000e+02 4.767574995179017172e+00 3.944411528573309678e+00 -1.917850366643138113e-10
2.250000000000000000e+02 4.768949176732032669e+00 3.943546923657420766e+00 -1.319415893692374425e-10
2.310000000000000000e+02 4.770602608469057593e+00 3.942661536434146630e+00 -1.982772772149421497e-11
2.370000000000000000e+02 4.772199714770560597e+00 3.941752270188410900e+00 -7.304883428934684258e-11
2.430000000000000000e+02 4.773899902827878350e+00 3.940673308453025658e+00 -3.505984448304560569e-11
2.490000000000000000e+02 4.775566918296000551e+00 3.939363215402462703e+00 -8.875492082413647201e-11
2.550000000000000000e+02 4.777308811755395901e+00 3.937738599372048398e+00 -1.059340546615732415e-10
2.610000000000000000e+02 4.778839572966450788e+00 3.935913393048297237e+00 -1.217330720032060926e-10
2.670000000000000000e+02 4.780281606555334406e+00 3.933951479708869936e+00 -3.528374680869701367e-11
2.730000000000000000e+02 4.781391574703159897e+00 3.932010877411357797e+00 1.821074329722873037e-12
2.790000000000000000e+02 4.782345033934248590e+00 3.929849861775853270e+00 -1.632112001133086405e-10
2.850000000000000000e+02 4.783016945514924956e+00 3.927811356719054903e+00 -1.459275385747938176e-10
2.910000000000000000e+02 4.783727925209857901e+00 3.925285030713023371e+00 -6.788946174804064056e-11
2.970000000000000000e+02 4.784210531736808214e+00 3.922913262083163932e+00 -1.458131190743353184e-10
3.030000000000000000e+02 4.784717402694941946e+00 3.920451159896380045e+00 -7.524626572962857372e-11
3.090000000000000000e+02 4.784934287835261202e+00 3.918142303318138175e+00 -1.426940187369482681e-10
3.150000000000000000e+02 4.785110965282829198e+00 3.916051088034172345e+00 -1.507380934830538504e-10
3.210000000000000000e+02 4.785267343466926171e+00 3.914190922342105416e+00 -1.407334237349096557e-10
3.270000000000000000e+02 4.785383444424026855e+00 3.912424393498476149e+00 -4.151340092821073883e-11
3.330000000000000000e+02 4.785412389967216740e+00 3.910720764121025983e+00 -1.122201582140621953e-10
3.390000000000000000e+02 4.785419023704971409e+00 3.908982607863396908e+00 -7.892761174129597764e-11
3.450000000000000000e+02 4.785416458122909944e+00 3.907192526527944576e+00 -1.095015837218691461e-10
3.510000000000000000e+02 4.785528197628398317e+00 3.905277797298517761e+00 -1.115971566812128780e-10
3.570000000000000000e+02 4.785735614595487242e+00 3.903503570450958193e+00 -1.111225627087363288e-10
3.630000000000000000e+02 4.786082437827578140e+00 3.901727810702020349e+00 -8.196719832858496179e-11
3.690000000000000000e+02 4.786569419088703370e+00 3.900133812720743887e+00 -6.723949591586498978e-11
3.750000000000000000e+02 4.787151818879311627e+00 3.898332954436151354e+00 -1.220530821956613182e-10
3.810000000000000000e+02 4.787788753010273624e+00 3.896693972301283893e+00 -1.134954447774578319e-10
3.870000000000000000e+02 4.788453551100601224e+00 3.894949954562315408e+00 2.057496694990879625e-11
3.930000000000000000e+02 4.788877697820026924e+00 3.893278261846294441e+00 -4.078548462167470713e-12
3.990000000000000000e+02 4.789190751652832923e+00 3.891516988011811229e+00 3.198049572792532106e-11
4.050000000000000000e+02 4.789119816767082760e+00 3.889793952140001121e+00 4.214130045934846776e-11
4.110000000000000000e+02 4.789111927865380203e+00 3.888201566614587712e+00 3.883198788793900592e-11
4.170000000000000000e+02 4.789102716810898386e+00 3.886684389697637965e+00 8.211670365224967131e-11
4.230000000000000000e+02 4.789219435534373126e+00 3.885332970802871433e+00 1.544313098657159875e-10
4.290000000000000000e+02 4.789429873449350339e+00 3.884218989155618917e+00 1.247536532874074882e-10
4.350000000000000000e+02 4.789806163113969895e+00 3.883296477816339021e+00 1.489275758858075544e-10
4.410000000000000000e+02 4.790244039635505047e+00 3.882535930955718584e+00 9.623052134222122479e-11
4.470000000000000000e+02 4.790847736089583364e+00 3.881867652453508288e+00 7.513889812779943908e-11
4.530000000000000000e+02 4.791327700614543161e+00 3.881404552361831239e+00 5.359040705164418945e-11
