# z, uu, uv, uw, vv, vw, ww
1.350000000000000000e+02 1.411174265153012364e-01 -2.579284426489419912e-02 -2.462832389379579837e-02 1.404415915548812011e-01 -2.117065267935661424e-02 1.864844919060102413e-01
1.410000000000000000e+02 1.393967772846666231e-01 -2.573971722618936114e-02 -2.433424556051795931e-02 1.385974058799386566e-01 -2.106681740169011677e-02 1.923736233027676101e-01
1.470000000000000000e+02 1.379191045957526007e-01 -2.554321764737675984e-02 -2.406707928238405875e-02 1.366918911779648749e-01 -2.098828143267837329e-02 1.981159060954352236e-01
1.530000000000000000e+02 1.365087782187515697e-01 -2.525427686740619460e-02 -2.378699985225292413e-02 1.349284801051353067e-01 -2.090409758405368038e-02 2.036787944950800844e-01
1.590000000000000000e+02 1.350785598004608234e-01 -2.495961204955792281e-02 -2.351848973810994822e-02 1.333357205439781867e-01 -2.084588940702336926e-02 2.090715734898797584e-01
1.650000000000000000e+02 1.336312681532080548e-01 -2.463367192072978343e-02 -2.324271468416840014e-02 1.319827308207243699e-01 -2.077218784431200671e-02 2.142970238907602465e-01
1.710000000000000000e+02 1.320103750890781746e-01 -2.418462473643583077e-02 -2.295750173309179035e-02 1.307000692192762381e-01 -2.072123464349786420e-02 2.193871622868112936e-01
1.770000000000000000e+02 1.306220104228606738e-01 -2.364747217149023098e-02 -2.268588324659801328e-02 1.296415904955798004e-01 -2.063988311845587828e-02 2.243352815491226893e-01
1.830000000000000000e+02 1.290945756290173552e-01 -2.305990240279432585e-02 -2.240398073881050972e-02 1.285648492570508894e-01 -2.058753783031837606e-02 2.291879301702754723e-01
1.890000000000000000e+02 1.279635558283133412e-01 -2.248452483801657853e-02 -2.216355625035942162e-02 1.279698270362260859e-01 -2.050334530161436117e-02 2.338478159866209938e-01
1.950000000000000000e+02 1.267297946162105615e-01 -2.184895145450860970e-02 -2.191441315446277655e-02 1.271990243784071883e-01 -2.043377236129704372e-02 2.384188722661941817e-01
2.010000000000000000e+02 1.253850515230110485e-01 -2.112741080426503576e-02 -2.164683963970464795e-02 1.262581758631126927e-01 -2.036032914267217608e-02 2.429220724390911967e-01
2.070000000000000000e+02 1.246082832003443108e-01 -2.028192312083259424e-02 -2.145117918032501958e-02 1.257280306266522207e-01 -2.029785081969373919e-02 2.472051077163332222e-01
2.130000000000000000e+02 1.236540229844114991e-01 -1.933373159531889124e-02 -2.120365664695919583e-02 1.250282665586707476e-01 -2.021589032644980147e-02 2.513290115307215689e-01
2.190000000000000000e+02 1.228292984250860809e-01 -1.835242060365957148e-02 -2.102696046690930715e-02 1.245326550301614627e-01 -2.015742412220403873e-02 2.552788145856333402e-01
2.250000000000000000e+02 1.219723562167751713e-01 -1.732909176495929515e-02 -2.081676711393619025e-02 1.238930943662903267e-01 -2.007552175290056376e-02 2.590827796297889840e-01
2.310000000000000000e+02 1.212080101263584703e-01 -1.624558828225566853e-02 -2.066345404961142732e-02 1.232905131396417747e-01 -2.002518824612688902e-02 2.627447293537404915e-01
2.370000000000000000e+02 1.205577323652962107e-01 -1.517217606454219353e-02 -2.049731132979859885e-02 1.227705089878058237e-01 -1.995589592639723797e-02 2.662659557573653912e-01
2.430000000000000000e+02 1.199847016487018830e-01 -1.413445797854932101e-02 -2.036766545380442467e-02 1.222933836959053666e-01 -1.992546655471146358e-02 2.696261770516525935e-01
2.490000000000000000e+02 1.194547224829749371e-01 -1.327963223316282887e-02 -2.023590635764030421e-02 1.218858205818903612e-01 -1.986940972964430785e-02 2.727922696975193517e-01
2.550000000000000000e+02 1.189703330438484502e-01 -1.253254800247630488e-02 -2.013231951031892522e-02 1.216130030164154219e-01 -1.985898021725521906e-02 2.757409943716161993e-01
2.610000000000000000e+02 1.185439390124969072e-01 -1.189543304194098927e-02 -2.002119288605761632e-02 1.216208675956348545e-01 -1.980520746630416024e-02 2.784459653307632121e-01
