# z, uu, uv, uw, vv, vw, ww, tke
8.250000000000000000e+01 1.808496579549078442e-01 -1.437249705867498645e-02 -3.211047083044522854e-02 1.805325934685388933e-01 -1.916125058150355831e-02 1.408537691487524446e-01 2.511180102860995911e-01
9.000000000000000000e+01 1.770739636092276970e-01 -1.480177253585694686e-02 -3.194435938826386406e-02 1.742501216679168685e-01 -1.868520168331963549e-02 1.453987280816076977e-01 2.483614066793761177e-01
9.750000000000000000e+01 1.732140703167399098e-01 -1.476219613150351294e-02 -3.181581649175697912e-02 1.682174255616818437e-01 -1.810443685630968788e-02 1.497779637967666666e-01 2.456047298375942101e-01
1.050000000000000000e+02 1.694324061826303351e-01 -1.429670141416505141e-02 -3.162086065446554489e-02 1.621975361686542882e-01 -1.762432040036609679e-02 1.535901267528442526e-01 2.426100345520644241e-01
1.125000000000000000e+02 1.665583251117558339e-01 -1.370711849622527172e-02 -3.146020855077513029e-02 1.571153404730287750e-01 -1.709094683783525526e-02 1.575872925595845631e-01 2.406304790721845999e-01
1.200000000000000000e+02 1.640799215381131826e-01 -1.325397911558344813e-02 -3.127690523209062518e-02 1.526704550630487711e-01 -1.655945410782805674e-02 1.611545687634376445e-01 2.389524726822997991e-01
1.275000000000000000e+02 1.618563812952887315e-01 -1.277863836520659428e-02 -3.104515755074860328e-02 1.488915642535439954e-01 -1.607678587431117176e-02 1.652006232131405239e-01 2.379742843809866115e-01
1.350000000000000000e+02 1.591527443605024184e-01 -1.231294192788018500e-02 -3.093915718342790319e-02 1.453968012062684112e-01 -1.554386505933729248e-02 1.691615844151738990e-01 2.368555649909723781e-01
1.425000000000000000e+02 1.567521250627897933e-01 -1.185485312716276322e-02 -3.069137802552439342e-02 1.421806576857344850e-01 -1.512317477218304632e-02 1.732546896281153825e-01 2.360937361883198582e-01
1.500000000000000000e+02 1.545963534588261079e-01 -1.098547210225568789e-02 -3.051951331790222696e-02 1.398243263335408881e-01 -1.466194319503403252e-02 1.772428629017308299e-01 2.358317713470489130e-01
1.575000000000000000e+02 1.527498689011624611e-01 -1.041346295422808030e-02 -3.034593529531735487e-02 1.371720789891737735e-01 -1.431727809304954128e-02 1.810419429420014048e-01 2.354819454161687919e-01
1.650000000000000000e+02 1.511032825083268305e-01 -9.538056352174474964e-03 -3.011439542501915395e-02 1.345755855772017839e-01 -1.390510089529962273e-02 1.845336706436541963e-01 2.351062693645913915e-01
1.725000000000000000e+02 1.496288159710242316e-01 -8.428547680439685275e-03 -2.997787313336171613e-02 1.322121769109441958e-01 -1.358862096190920597e-02 1.882201117863903372e-01 2.350305523341793545e-01
1.800000000000000000e+02 1.484370106838409642e-01 -7.152440436135843946e-03 -2.976397221775857124e-02 1.300933413488087054e-01 -1.321837989356849409e-02 1.914686428525644579e-01 2.349994974426070637e-01
1.875000000000000000e+02 1.476333748588808115e-01 -6.031089772520371352e-03 -2.952855040967145364e-02 1.282693906919649962e-01 -1.296754823719093071e-02 1.949447217192802340e-01 2.354237436350630208e-01
1.950000000000000000e+02 1.471580720795391817e-01 -5.296290707078616516e-03 -2.929596207437762043e-02 1.262735943510182313e-01 -1.264899713626336554e-02 1.983100152502161040e-01 2.358708408403867307e-01
2.025000000000000000e+02 1.463287312994617229e-01 -4.233250000714081605e-03 -2.904476580956166440e-02 1.242949772882714077e-01 -1.237917068735477390e-02 2.017628242892188783e-01 2.361932664384759906e-01
2.100000000000000000e+02 1.451507892400339117e-01 -3.497500177841045884e-03 -2.881834818968987549e-02 1.219532653389863303e-01 -1.208055353887498365e-02 2.051327639009335735e-01 2.361184092399769008e-01
2.175000000000000000e+02 1.444970102642495757e-01 -2.940381871802995404e-03 -2.852648738937522965e-02 1.198587538505711952e-01 -1.178631448033986770e-02 2.086152601627840886e-01 2.364855121388024228e-01
2.250000000000000000e+02 1.441516611671003201e-01 -2.399101329991867437e-03 -2.829559525658759123e-02 1.178387257001227706e-01 -1.151515145437688979e-02 2.119068215910189790e-01 2.369486042291210348e-01
2.325000000000000000e+02 1.431156669871953002e-01 -1.929897289028845424e-03 -2.800210977142191318e-02 1.166476119756449797e-01 -1.122286210107852761e-02 2.151660348764770914e-01 2.374646569196586787e-01
2.400000000000000000e+02 1.416889345598919547e-01 -1.435241103801648778e-03 -2.779466592876877334e-02 1.156459530276246761e-01 -1.095964548478913295e-02 2.178463461641322318e-01 2.375906168758244452e-01
2.475000000000000000e+02 1.408290752686366110e-01 -1.243621964067328882e-03 -2.752747657761547492e-02 1.145015443778730907e-01 -1.070154978037171287e-02 2.206317811048612298e-01 2.379812003756854866e-01
2.550000000000000000e+02 1.399011496341115157e-01 -1.248575177360846744e-03 -2.729346177232698512e-02 1.133202035706395022e-01 -1.040411506877855774e-02 2.230795700006562021e-01 2.381504616027036170e-01
2.625000000000000000e+02 1.388222888469913263e-01 -1.426441363186866946e-03 -2.704485554353411314e-02 1.116359023421038266e-01 -1.011195825789792252e-02 2.256267711383501684e-01 2.380424811637226745e-01
2.700000000000000000e+02 1.377175234577743268e-01 -1.277020836554492800e-03 -2.682629599698040448e-02 1.100712887287183805e-01 -9.801639474327803608e-03 2.278575320769265222e-01 2.378231721317096148e-01
2.775000000000000000e+02 1.369512489315302672e-01 -8.185736741380681336e-04 -2.653289225807076851e-02 1.084192462742318841e-01 -9.493107293067033076e-03 2.303545231445664199e-01 2.378625091751642717e-01
2.850000000000000000e+02 1.359190936363589286e-01 -5.175133144391232207e-04 -2.629822411479572700e-02 1.065431610464681600e-01 -9.161213299514055566e-03 2.327084885507308132e-01 2.375853716167789509e-01
2.925000000000000000e+02 1.347123416942442864e-01 -5.196616833059318399e-04 -2.599707737607310359e-02 1.051106555248507712e-01 -8.843794616691368418e-03 2.350125623610020420e-01 2.374177797900485498e-01
3.000000000000000000e+02 1.338071888058637582e-01 -4.287641403036499270e-04 -2.573129153296921379e-02 1.038291293989377639e-01 -8.521836041925839184e-03 2.370793344619107623e-01 2.373578263333561422e-01
3.075000000000000000e+02 1.327561475028262161e-01 -2.380860072841668783e-04 -2.540880183369437564e-02 1.027503963151200905e-01 -8.240855013828776721e-03 2.390896368615733902e-01 2.372980903397598484e-01
3.150000000000000000e+02 1.316751077843930640e-01 -3.056616438283892966e-04 -2.511253971495457094e-02 1.023198389507803535e-01 -7.947483611449843860e-03 2.407504784944171083e-01 2.373727126147952560e-01
3.225000000000000000e+02 1.307474980707748757e-01 -2.404163096788366344e-04 -2.485535167548652211e-02 1.020679538978745554e-01 -7.709016982735775528e-03 2.423488916356201228e-01 2.375821718021347839e-01
3.300000000000000000e+02 1.302338191044086213e-01 -2.089011872184004211e-04 -2.454569639943220832e-02 1.015456107108563266e-01 -7.372220242907167112e-03 2.436292538408530162e-01 2.377043418280589959e-01
3.375000000000000000e+02 1.293615261337901223e-01 -4.461377877418973618e-04 -2.425746363656434285e-02 1.012288792988746133e-01 -7.129808899584178482e-03 2.447912479654304196e-01 2.376908266990475638e-01
3.450000000000000000e+02 1.285078615358760667e-01 -3.666448138601859585e-04 -2.398011913056310659e-02 1.008346701560111081e-01 -6.859872786482804595e-03 2.457256140899358732e-01 2.375340728909115240e-01
3.525000000000000000e+02 1.280953564737130068e-01 -5.710144665475047360e-04 -2.369995876771168256e-02 1.008928775467247269e-01 -6.639831243967843875e-03 2.464385739419408250e-01 2.377134039811892863e-01
3.600000000000000000e+02 1.268505041555002544e-01 -1.008024656602747159e-03 -2.342248474957977014e-02 1.006781742335674940e-01 -6.366572207901656857e-03 2.468740615323810339e-01 2.372013699607243842e-01
3.675000000000000000e+02 1.257972058615687283e-01 -1.144836762252235927e-03 -2.316310025352222302e-02 1.005000226648732065e-01 -6.145934102576767859e-03 2.472205520768177289e-01 2.367588903016298318e-01
3.750000000000000000e+02 1.250355373032643325e-01 -1.371833668252611920e-03 -2.287549058934348900e-02 1.004321496879320152e-01 -5.876601186156083130e-03 2.472790067011812476e-01 2.363733468461887977e-01
3.825000000000000000e+02 1.242774217328891373e-01 -1.556492171072284842e-03 -2.261987805426247944e-02 1.001501702372046831e-01 -5.678019544196454688e-03 2.471753246212437249e-01 2.358014582956687866e-01
3.900000000000000000e+02 1.239692281260954820e-01 -1.715581614884872930e-03 -2.233238124758419804e-02 9.952008226865373397e-02 -5.461284499453176143e-03 2.468064756982075447e-01 2.351478930464783734e-01
3.975000000000000000e+02 1.237906220649435951e-01 -1.606219428686704717e-03 -2.208047315744137915e-02 9.897542489459805470e-02 -5.292818129475409909e-03 2.463508869387627254e-01 2.345584669491521945e-01
4.050000000000000000e+02 1.239009488717053992e-01 -1.369254827700589145e-03 -2.180296210356680309e-02 9.841898106416591130e-02 -5.114443801887402601e-03 2.457939759614277686e-01 2.340569529486495326e-01
4.125000000000000000e+02 1.237989364935316583e-01 -1.147286950771213895e-03 -2.156485737705573016e-02 9.804815950131548496e-02 -4.943424587991965095e-03 2.450893322622826054e-01 2.334682141285648882e-01
4.200000000000000000e+02 1.237600412411427181e-01 -9.145154598746088473e-04 -2.130050091676586460e-02 9.820940565406714728e-02 -4.780905668259879948e-03 2.443135124138068881e-01 2.331414796545083767e-01
4.275000000000000000e+02 1.236761592343122440e-01 -7.264422256324370997e-04 -2.106474799961314051e-02 9.836866467941886294e-02 -4.632220007502197909e-03 2.431947719729891655e-01 2.326197979433601293e-01
4.350000000000000000e+02 1.233189452528021257e-01 -5.427016456305970874e-04 -2.081269731762845979e-02 9.850702665183826146e-02 -4.499470319479772704e-03 2.420476040956810182e-01 2.319367880001607096e-01
4.425000000000000000e+02 1.231628279216403360e-01 -6.217855806023592918e-04 -2.057357738703447306e-02 9.862971474608482614e-02 -4.354721794466140210e-03 2.407414332065025142e-01 2.312669879371138382e-01
4.500000000000000000e+02 1.230263833285908798e-01 -5.050229482662487715e-04 -2.030049851746138986e-02 9.916457684167215292e-02 -4.253064381873322003e-03 2.394309484040926250e-01 2.308109542871778219e-01
4.575000000000000000e+02 1.222784909774829870e-01 -4.186477718644518215e-04 -2.003118458899468685e-02 9.985403793561158092e-02 -4.121011639138620446e-03 2.378564814417447326e-01 2.299945051774196503e-01
4.650000000000000000e+02 1.213293988565930653e-01 -2.278496814222494304e-04 -1.978490871837160561e-02 1.005037893015378742e-01 -4.027824937916449528e-03 2.361569767910823847e-01 2.289950824746066482e-01
4.725000000000000000e+02 1.202209635417643557e-01 -2.360769021202283936e-04 -1.950217990564317300e-02 1.008629806555337849e-01 -3.858826466944040388e-03 2.345513176594348215e-01 2.278176309283664880e-01
4.800000000000000000e+02 1.197687894578359918e-01 -1.557876781081581985e-04 -1.928512894184285578e-02 1.007342867946660475e-01 -3.785555053400332676e-03 2.327202954956808234e-01 2.266116858740914175e-01
4.875000000000000000e+02 1.193887400142263217e-01 2.650213663662548207e-04 -1.901230374499021658e-02 1.008416652439541455e-01 -3.666756918977002750e-03 2.307788882450269863e-01 2.255046467516037267e-01
4.950000000000000000e+02 1.189817552233224940e-01 7.317697918025636806e-04 -1.875697664015656824e-02 1.008506937603350778e-01 -3.604117472622552203e-03 2.288432554189419599e-01 2.243378522012997589e-01
5.025000000000000000e+02 1.181864088662114842e-01 9.183388801317132668e-04 -1.851114144556956220e-02 1.006038848223591575e-01 -3.519517250490252890e-03 2.269668187104343371e-01 2.228785561995024755e-01
5.100000000000000000e+02 1.172831309304618597e-01 9.622871413593864741e-04 -1.825678266145058445e-02 1.007095024410282619e-01 -3.490404643440523855e-03 2.250776146799831068e-01 2.215351240257366072e-01
5.175000000000000000e+02 1.163655541310100044e-01 8.605861368455103907e-04 -1.802625640687536418e-02 1.006579621657080204e-01 -3.486008477774060407e-03 2.231653855425396737e-01 2.200944509196288423e-01
5.250000000000000000e+02 1.150286904089043161e-01 1.030893780174121010e-03 -1.780680454795629739e-02 1.005989873804039453e-01 -3.514661431050370832e-03 2.212173332414180960e-01 2.184225055153631856e-01
5.325000000000000000e+02 1.133007312521369658e-01 1.180691469459533953e-03 -1.756132643037237873e-02 1.004119919603298494e-01 -3.516214646502754688e-03 2.191795055306366424e-01 2.164461143715517288e-01
5.400000000000000000e+02 1.121132326318809019e-01 1.260501963692779899e-03 -1.731189575333822589e-02 9.997057420597482702e-02 -3.537537103870150215e-03 2.170236614948486964e-01 2.145537341663522057e-01
5.475000000000000000e+02 1.108179153991204896e-01 1.322372432048765298e-03 -1.705549018362789715e-02 9.965190621885289257e-02 -3.530092818516208670e-03 2.146656861054978549e-01 2.125677538617356255e-01
5.550000000000000000e+02 1.093155104123119115e-01 1.238411404611039143e-03 -1.676324193480819777e-02 9.928970561099069447e-02 -3.544180838915906434e-03 2.124349660818914409e-01 2.105200910525970304e-01
5.625000000000000000e+02 1.078774730868077986e-01 1.225336976564307548e-03 -1.650743897786862216e-02 9.940528069018188251e-02 -3.580999360804792368e-03 2.101149611463683786e-01 2.086988574616790437e-01
5.700000000000000000e+02 1.070415110539170017e-01 1.311958641427340500e-03 -1.622487666414430471e-02 9.970714856475211552e-02 -3.587841042503852901e-03 2.076803688996536612e-01 2.072145142591613753e-01
5.775000000000000000e+02 1.060750720068005387e-01 1.526774830427467733e-03 -1.592503300384994283e-02 1.000998472968199771e-01 -3.623724460614864435e-03 2.052813981498604889e-01 2.057281587267404954e-01
5.850000000000000000e+02 1.050061156311886817e-01 1.488975226470052584e-03 -1.563360597480270911e-02 1.001488919782430459e-01 -3.657084291215246478e-03 2.026756252216701804e-01 2.039153164155509401e-01
5.925000000000000000e+02 1.041377250194588239e-01 1.326640894147461825e-03 -1.534445153261279615e-02 1.001773832413822563e-01 -3.723058891278770415e-03 1.999375527958890120e-01 2.021263305283650391e-01
6.000000000000000000e+02 1.036081714155912964e-01 1.440852538890970971e-03 -1.503173865217003781e-02 1.001616811886471003e-01 -3.761168896402971012e-03 1.970605063240615240e-01 2.004151794641499673e-01
6.075000000000000000e+02 1.026435225374891097e-01 1.622942870918829073e-03 -1.479746928810155536e-02 1.001669725555972001e-01 -3.825292338998077975e-03 1.942210954415565238e-01 1.985157952673214099e-01
6.150000000000000000e+02 1.020695145230429424e-01 1.948519646755956201e-03 -1.451336196735884994e-02 9.990940708648674007e-02 -3.888085640582908658e-03 1.911604535077457701e-01 1.965696875586377401e-01
6.225000000000000000e+02 1.014263250593476356e-01 2.019718350768651312e-03 -1.431808462808680828e-02 9.959054327975397358e-02 -3.952509688171419906e-03 1.881881399579597158e-01 1.946025041485306417e-01
6.300000000000000000e+02 1.006031229222870138e-01 1.658211017986328068e-03 -1.404503457895706249e-02 9.943517986063114822e-02 -4.022558539375650777e-03 1.852191502365964360e-01 1.926287265097573198e-01
6.375000000000000000e+02 1.000591427540410555e-01 1.630657058512212420e-03 -1.385443231540314964e-02 9.895569854513421026e-02 -4.068144349579640509e-03 1.819769352046316235e-01 1.904958882519034447e-01
6.450000000000000000e+02 9.931352086138174606e-02 1.634998459283261950e-03 -1.359603014674250383e-02 9.872928800959722417e-02 -4.157521689887563703e-03 1.786264220640705058e-01 1.883346154675247242e-01
6.525000000000000000e+02 9.836444373405968389e-02 1.676802416955589436e-03 -1.337761653267019631e-02 9.864945085307576245e-02 -4.219666696981761757e-03 1.752340282716670916e-01 1.861239614294012690e-01
6.600000000000000000e+02 9.816681792844883514e-02 1.864182841596054600e-03 -1.313342691093464555e-02 9.863232486048664760e-02 -4.302352332221190401e-03 1.716861689639006816e-01 1.842426558764180822e-01
6.675000000000000000e+02 9.790953956042440509e-02 1.896571676113294148e-03 -1.289598712286836590e-02 9.864944261279266768e-02 -4.323160794987566599e-03 1.682135210306558437e-01 1.823862516019364444e-01
6.750000000000000000e+02 9.713267172650259795e-02 1.746492519867217947e-03 -1.267176077640750492e-02 9.838114281003544626e-02 -4.402199081158672533e-03 1.646411319154331976e-01 1.800774732259856070e-01
