# z, u, v, w, u_mag
5.325000000000000000e+02 4.962364928336282510e+00 3.880145486225117235e+00 2.307480291336148190e-05 6.299253501549810785e+00
5.400000000000000000e+02 4.965248688537336363e+00 3.878952388380342953e+00 -2.392038322647313615e-05 6.300790916298960376e+00
5.475000000000000000e+02 4.968123085838357156e+00 3.878465525505779166e+00 3.175542773609345558e-05 6.302756684942333543e+00
5.550000000000000000e+02 4.971804031294626114e+00 3.878156624952711518e+00 -3.861654441544316445e-05 6.305468589625464304e+00
5.625000000000000000e+02 4.975271391747607908e+00 3.877280781999300263e+00 4.008293177731085341e-05 6.307664519107680334e+00
5.700000000000000000e+02 4.977957929548661120e+00 3.876366284214725066e+00 -3.908748982535842240e-05 6.309221879065666450e+00
5.775000000000000000e+02 4.980728897735628991e+00 3.875297734428765573e+00 3.639774304426301766e-05 6.310752164721119328e+00
5.850000000000000000e+02 4.983411648561368423e+00 3.874583634688754774e+00 -3.709327087714918067e-05 6.312431385970937114e+00
5.925000000000000000e+02 4.985773378863801675e+00 3.873649143205712075e+00 3.751010423624710739e-05 6.313722663488817943e+00
6.000000000000000000e+02 4.988407500938095929e+00 3.873085174573537515e+00 -3.316040600209503597e-05 6.315457082905116870e+00
6.075000000000000000e+02 4.990889181750778114e+00 3.872754379789293822e+00 2.695056288251250297e-05 6.317214679858556003e+00
6.150000000000000000e+02 4.992952515241801059e+00 3.872961745100969910e+00 -1.983017749737766097e-05 6.318972028650563288e+00
6.225000000000000000e+02 4.994487119262495334e+00 3.873109272890255639e+00 1.704742383023948743e-05 6.320275075067387505e+00
6.300000000000000000e+02 4.995779294693485362e+00 3.872875215096369228e+00 -2.242433923895507030e-05 6.321152837378537725e+00
6.375000000000000000e+02 4.997421646489478064e+00 3.873231583985243809e+00 2.595244709434464485e-05 6.322669216134589654e+00
6.450000000000000000e+02 4.999149419081119206e+00 3.873214915734279007e+00 -2.528068532500433858e-05 6.324024723101950407e+00
6.525000000000000000e+02 5.000790208857051944e+00 3.873110681069419581e+00 2.328739730567781427e-05 6.325258023302834154e+00
6.600000000000000000e+02 5.003223284423632400e+00 3.872301044045102891e+00 -1.910611295487702903e-05 6.326686226602093122e+00
6.675000000000000000e+02 5.005822864002598571e+00 3.871755853800648683e+00 1.727121036800015780e-05 6.328408641792110600e+00
6.750000000000000000e+02 5.008853920143089944e+00 3.871696415923505885e+00 -1.556710370350540337e-05 6.330770153042207582e+00
6.825000000000000000e+02 5.011833948755866075e+00 3.871337256165782836e+00 9.194855247960541099e-06 6.332908627239428156e+00
6.900000000000000000e+02 5.015353452880356500e+00 3.871146414364053712e+00 -4.165085513905424445e-06 6.335577702055270599e+00
6.975000000000000000e+02 5.018836302333533617e+00 3.870002401604654807e+00 1.096948809200289364e-06 6.337636500940073248e+00
7.050000000000000000e+02 5.023694704348811158e+00 3.868736832826503047e+00 5.971868395734641595e-07 6.340712354631070191e+00
7.125000000000000000e+02 5.028526148934280293e+00 3.867565012288816106e+00 -5.292622783050319374e-07 6.343826475779164475e+00
7.200000000000000000e+02 5.033403224383367736e+00 3.866050469332797945e+00 -2.300302148284527665e-06 6.346770379544742546e+00
7.275000000000000000e+02 5.038779165108700830e+00 3.865309327058023214e+00 4.889823008727697645e-06 6.350583569137500106e+00
7.350000000000000000e+02 5.045039722905894308e+00 3.864416022786914429e+00 -8.202470174296057752e-06 6.355008812184125944e+00
7.425000000000000000e+02 5.050407554023454537e+00 3.862016080266438056e+00 9.218287901457045800e-06 6.357812883850757935e+00
7.500000000000000000e+02 5.057123768593199564e+00 3.859153830495179793e+00 -8.418332722348487404e-06 6.361412508112232800e+00
7.575000000000000000e+02 5.064131155553703856e+00 3.857046968462630510e+00 4.722067574600483228e-06 6.365707790780123609e+00
7.650000000000000000e+02 5.071681313889650156e+00 3.855724337601647012e+00 -4.550720524086080382e-06 6.370915280966450212e+00
7.725000000000000000e+02 5.079911310961524151e+00 3.853594848244045856e+00 5.581043266111110865e-06 6.376181630229727837e+00
7.800000000000000000e+02 5.087227148761416906e+00 3.851076800515173648e+00 -8.428536883674436354e-06 6.380491563087630880e+00
7.875000000000000000e+02 5.095076285711081177e+00 3.847469783383217212e+00 1.023346111499105789e-05 6.384577205372885977e+00
7.950000000000000000e+02 5.102091943144619002e+00 3.843906267086451223e+00 -1.620214351420446564e-05 6.388032372077511845e+00
8.025000000000000000e+02 5.109880216086707172e+00 3.839640233051139440e+00 2.085834348425774241e-05 6.391690929828695467e+00
8.100000000000000000e+02 5.118320388942882992e+00 3.835328627929552869e+00 -2.314909854119217536e-05 6.395854070303691685e+00
8.175000000000000000e+02 5.127383060514540958e+00 3.830204808863693966e+00 1.659131904003446355e-05 6.400041087943834306e+00
8.250000000000000000e+02 5.136769353628250379e+00 3.823450513710622278e+00 -1.330295352117298679e-05 6.403528185566561781e+00
8.325000000000000000e+02 5.145061043603580409e+00 3.817207510519507796e+00 1.560586756769829537e-05 6.406459733816895152e+00
8.400000000000000000e+02 5.154825956360572725e+00 3.812209104380507974e+00 -2.243451956555679607e-05 6.411331288928503902e+00
8.475000000000000000e+02 5.166412849606400570e+00 3.806828732342928401e+00 1.719377249184977382e-05 6.417457964822631311e+00
8.550000000000000000e+02 5.178367398022865054e+00 3.801240149804874235e+00 -1.809595128424239027e-05 6.423777361157696930e+00
8.625000000000000000e+02 5.192881067012070417e+00 3.796549154066600540e+00 1.045592101306947112e-05 6.432713211039768453e+00
8.700000000000000000e+02 5.209042180449449333e+00 3.792022058763006687e+00 -9.688977611794503456e-06 6.443101095896343722e+00
8.775000000000000000e+02 5.226412046734355776e+00 3.788907881759294938e+00 -9.839543762529778150e-06 6.455323835316438164e+00
8.850000000000000000e+02 5.245986008958334779e+00 3.787242835783708905e+00 8.090771778741340611e-06 6.470206913495664125e+00
8.925000000000000000e+02 5.266385462945819995e+00 3.784540586223108960e+00 -2.543737611487723998e-05 6.485180282285456954e+00
9.000000000000000000e+02 5.290077977651158392e+00 3.783190363555181790e+00 1.683796482166739902e-05 6.503649309180967286e+00
9.075000000000000000e+02 5.317151066212478128e+00 3.782330058893216496e+00 -3.213960196050886950e-05 6.525190888883221518e+00
9.150000000000000000e+02 5.348618416962386490e+00 3.781999569633820002e+00 1.548270938564540826e-05 6.550667119860338339e+00
9.225000000000000000e+02 5.381711445637923141e+00 3.784551744667083994e+00 -3.402503954154051342e-05 6.579183079481113694e+00
9.300000000000000000e+02 5.417813227906330908e+00 3.791178395282084335e+00 1.246583805846130338e-05 6.612543670743192159e+00
9.375000000000000000e+02 5.455707185460478392e+00 3.800168614604330752e+00 -3.504577750464371675e-05 6.648760966837136799e+00
9.450000000000000000e+02 5.494501601597412410e+00 3.813897879475768526e+00 7.664191648757469818e-06 6.688450110831733575e+00
9.525000000000000000e+02 5.528045354656406118e+00 3.832393503806709401e+00 -3.115009557055057644e-05 6.726553754496315207e+00
9.600000000000000000e+02 5.552937576329229685e+00 3.855706480690451077e+00 8.215886553878995108e-06 6.760294978173289060e+00
9.675000000000000000e+02 5.564176620503858750e+00 3.882765737975898634e+00 -2.676301340551356418e-05 6.784978352277737379e+00
9.750000000000000000e+02 5.557122150313320574e+00 3.911678692974981608e+00 8.122613694885278893e-06 6.795795523015931927e+00
9.825000000000000000e+02 5.530477543494928483e+00 3.940578974962697156e+00 -1.481419341176331253e-05 6.790754340810688738e+00
9.900000000000000000e+02 5.485309271239289686e+00 3.968095554886791998e+00 1.260728274765355090e-05 6.770110791856731147e+00
9.975000000000000000e+02 5.427362033910554828e+00 3.991489348906549939e+00 -1.053706641218500386e-05 6.737079921574270713e+00
1.005000000000000000e+03 5.362044802995292514e+00 4.008019340943500097e+00 3.463413431953425652e-06 6.694456177070545522e+00
1.012500000000000000e+03 5.292810392700775246e+00 4.015105430495630401e+00 -1.580337134039590656e-05 6.643411282716627397e+00
1.020000000000000000e+03 5.223572460075729396e+00 4.013510445498220669e+00 -8.710233217511608489e-06 6.587410366893867497e+00
1.027500000000000000e+03 5.159663258801275632e+00 4.004869242742231883e+00 -2.750276775820485625e-05 6.531546723130971621e+00
1.035000000000000000e+03 5.103586017955689336e+00 3.990013149764928713e+00 -2.116682271080702583e-05 6.478178384269599910e+00
1.042500000000000000e+03 5.055663358294518517e+00 3.969224436296178382e+00 -3.949992576357111765e-05 6.427633671861890718e+00
1.050000000000000000e+03 5.015584111596160355e+00 3.941323463622840251e+00 -3.211899365682489843e-05 6.378880358372573944e+00
1.057500000000000000e+03 4.984305256999837397e+00 3.908066778979272904e+00 -5.587971123999692927e-05 6.333741772999605502e+00
1.065000000000000000e+03 4.964240365218852702e+00 3.873297108559793589e+00 -4.642312577175132315e-05 6.296515933196784154e+00
1.072500000000000000e+03 4.957067512361378547e+00 3.840677724835779294e+00 -6.738142140043823676e-05 6.270831181964526380e+00
1.080000000000000000e+03 4.962202337575066124e+00 3.811703339519316724e+00 -6.385646630518511835e-05 6.257198605735301733e+00
1.087500000000000000e+03 4.977612130239454480e+00 3.787026747534933957e+00 -8.301530555084455829e-05 6.254453941995537392e+00
1.095000000000000000e+03 5.000852199931242303e+00 3.765633892920952519e+00 -7.585937069575873662e-05 6.260073589569598695e+00
1.102500000000000000e+03 5.029243904025579859e+00 3.746468388168628039e+00 -8.324456744634241463e-05 6.271309244221253465e+00
1.110000000000000000e+03 5.061141748386354777e+00 3.729783185704581339e+00 -6.533371847240727990e-05 6.287005520428020411e+00
1.117500000000000000e+03 5.096496159785823821e+00 3.717016332605957096e+00 -5.919731637856297853e-05 6.307969841959884860e+00
1.125000000000000000e+03 5.135825111090330353e+00 3.709441308155529970e+00 -3.448370290346653973e-05 6.335349587161370088e+00
1.132500000000000000e+03 5.179221038874082694e+00 3.707054051564835362e+00 -3.189209904203818731e-05 6.369189925866264090e+00
1.140000000000000000e+03 5.226091112888606283e+00 3.709000353461520572e+00 -9.070587323973988249e-07 6.408487492551715903e+00
1.147500000000000000e+03 5.275225768737271004e+00 3.714193253908591785e+00 2.159297631810626414e-06 6.451607430597004367e+00
1.155000000000000000e+03 5.324899201825642692e+00 3.721088651456983865e+00 4.052528012116430402e-05 6.496233698324562766e+00
1.162500000000000000e+03 5.373167905953232903e+00 3.727663349239505042e+00 3.830272526396421478e-05 6.539602999593815191e+00
1.170000000000000000e+03 5.417912581712424291e+00 3.732479904293043216e+00 7.305412023268519929e-05 6.579147587975671563e+00
1.177500000000000000e+03 5.457008262660329123e+00 3.734973478505422051e+00 6.184489943847720187e-05 6.612788070678417895e+00
1.185000000000000000e+03 5.488792212633330614e+00 3.735184025697193988e+00 9.935033046864505943e-05 6.639159560453286701e+00
1.192500000000000000e+03 5.512349314237168230e+00 3.733458056683839121e+00 7.615475538125756109e-05 6.657680078600051843e+00
