,u,v,w,hvelmag,theta,mueff,u'theta'_r,v'theta'_r,w'theta'_r,u'u'_r,u'v'_r,u'w'_r,v'v'_r,v'w'_r,w'w'_r,u'u'u'_r,v'v'v'_r,w'w'w'_r,z
0,3.8540869605740737,3.3232228059725437,-2.319535187328877e-09,5.109869895753303,288.54890014802845,0.0,-0.006640499087200583,-0.006543028076320542,0.0020215924211303524,0.14516827687757092,-0.024941586821342846,-0.004603704612875014,0.2243043847999259,-0.0034872372937177097,0.00325481369265445,0.02178848539282467,0.03482202808867186,0.00017173084210248354,6.0
1,4.369924623967935,3.7136694419721614,-3.880811240411165e-09,5.754219616916475,288.46837459073134,0.0,-0.012081478612693637,-0.009611546743640082,0.007180420076805125,0.19175911085491,0.008789752206628773,-0.023713629808227006,0.26201297530295703,-0.01709216846191966,0.022130120276320366,0.0009452931375609711,0.020492625108333596,0.002926911848970052,18.0
2,4.561297450791427,3.8481114899454654,-5.151551699709017e-09,5.986642134547682,288.42414890331276,0.0,-0.010433352550309957,-0.007271459114690579,0.010050013457893695,0.19315893128505476,0.010196751933140964,-0.02885585936569546,0.2673641503881624,-0.01946114950503253,0.045633450317347043,-0.002896960853222099,0.017564121565612722,0.007919657352523198,30.0
3,4.647610126530965,3.9029572117348352,-6.274502661190071e-09,6.086775912249644,288.4051318729047,0.0,-0.008519215443576877,-0.005419596402708277,0.010914438275078372,0.1748525764655612,0.007041196574483635,-0.030789305134409493,0.2556479206760094,-0.019568742627173025,0.06888323534261878,-0.007256217784160839,0.0164259639515643,0.013379480242221513,42.0
4,4.6930291138299225,3.9298783682465714,-7.2457579464974226e-09,6.137877335033833,288.3962812904444,0.0,-0.00676866888309884,-0.0038939801748343592,0.011061745288140124,0.15722245147349226,0.0015919174120809898,-0.031023381983205825,0.24071172243064753,-0.018607065870727357,0.09031270226205985,-0.009454174138931983,0.012791469564205555,0.018837850990896274,54.0
5,4.722344265961602,3.9465019929516982,-8.135897185774351e-09,6.1702218413251915,288.3912916999909,0.0,-0.005404080864037364,-0.002793094001736985,0.011020057404985783,0.14317302351923003,-0.0034517207846763297,-0.03117072380990013,0.22684113406168258,-0.017659896824041097,0.10979968891602268,-0.010527115534382559,0.010323684354867664,0.0241027777276555,66.0
6,4.742309628034189,3.9580088755534932,-8.924764381277852e-09,6.192243943615883,288.3879752536591,0.0,-0.004402191120339453,-0.0020695187862344857,0.010914642000408918,0.13296479489357024,-0.006511501592262076,-0.031093937074151683,0.215686677966583,-0.016663593114813757,0.127388817850855,-0.01075258751434278,0.009271524622093902,0.029185410839767594,78.0
7,4.75604469166327,3.9668033526041215,-9.647971519400203e-09,6.207904866518906,288.38563455666366,0.0,-0.003667331487962375,-0.001523776647210373,0.010787455245375777,0.12529960053254632,-0.008485819119314847,-0.031051988287009728,0.20722616078570016,-0.015670258658090505,0.1433591852206919,-0.010784747358409043,0.008010093584418026,0.03404311291374341,90.0
8,4.76548341014794,3.9743440863914103,-1.0283450769069927e-08,6.219584951424419,288.383816796789,0.0,-0.0031642820066279586,-0.0010728490361302041,0.010648439702928409,0.11942215152114075,-0.009772695208334578,-0.030988247316743586,0.20073439257645329,-0.01472855407774913,0.1578051454415198,-0.010676019700474132,0.0065375168026636345,0.03870677822857196,102.0
9,4.772832905616344,3.9805038460665236,-1.0843966036787013e-08,6.228880436071725,288.3824544555918,0.0,-0.0028057930338424514,-0.0006547717632603838,0.010505979527287811,0.11510154469035337,-0.011071472821794269,-0.030948407994487656,0.19508902673340678,-0.013822801351865067,0.17068865405581143,-0.010341038592590635,0.005247328680687823,0.04314959625519905,114.0
10,4.77983060873991,3.985827344954049,-1.1307497525514877e-08,6.237445671799461,288.38139141404366,0.0,-0.002529170513518522,-0.00036454723266314906,0.01036244781356434,0.11233417193724574,-0.012519245774180296,-0.03090795209502104,0.18979516273723376,-0.012914511675769529,0.1819363157387842,-0.009754527327865144,0.004561556188811619,0.047225547154230225,126.0
11,4.7862987910908386,3.990525197016253,-1.169347065940956e-08,6.245282184989649,288.3805933432521,0.0,-0.0022986580755173323,-0.00015736472605824026,0.01021146469490765,0.11103824679365606,-0.014345878730868927,-0.03091942487383441,0.1846221477625802,-0.011973606562184403,0.19141334308769978,-0.009007422362337092,0.004102124744629617,0.05077440921523038,138.0
12,4.791836443020855,3.994943022133292,-1.1973187539529513e-08,6.2523235014168375,288.3798701147349,0.0,-0.002156471240087622,2.4929779911983904e-05,0.010050789497823849,0.11156168143284108,-0.016314157438758446,-0.030959811850859047,0.18005018661359384,-0.010964240483946602,0.19891653223290165,-0.008536656275823375,0.003837166164044988,0.05372040633582493,150.0
13,4.795931760457188,3.9992448269078618,-1.2175708673751456e-08,6.25820878294484,288.3791502499251,0.0,-0.0020654375121636195,0.00018600921611147962,0.009880569445976654,0.11339702477849216,-0.01776776828457934,-0.031021483866473996,0.17584471589095604,-0.009901649907561883,0.20450505734878174,-0.00876374086329078,0.0033563405357818384,0.05610421884382131,162.0
14,4.79851593685481,4.0039362534591065,-1.2279915376312955e-08,6.2631446569280484,288.37836539811263,0.0,-0.0020193935806410088,0.0003811058917486569,0.009707442417561515,0.1156947934837093,-0.018583067066446718,-0.031070936497888526,0.1715887123499965,-0.008766504672743564,0.20858940806533088,-0.009239001959801166,0.0031272994154278445,0.058104392759180834,174.0
15,4.799366070293531,4.009135878126377,-1.2344934121974392e-08,6.2670271575983,288.3775595525757,0.0,-0.0019897616956485154,0.0005939738468795744,0.009535376546631641,0.11777086886912363,-0.018968705425255406,-0.031102039245636415,0.16728049728343336,-0.00761448659621408,0.211718775614187,-0.009730199860350721,0.004074275335329427,0.05987724673763661,186.0
16,4.798986481401004,4.013958868971593,-1.2370997665027935e-08,6.269735535340124,288.3767428559879,0.0,-0.0019550086419515686,0.0007599350131010952,0.009366697643342838,0.1193605230300331,-0.019548001598284622,-0.031126051667660443,0.16317768202915398,-0.006448563410309096,0.2143308568165999,-0.01022915659557718,0.005223254805971274,0.06148322524890351,198.0
17,4.797804537796072,4.017836917181073,-1.2417643800047098e-08,6.271248216841771,288.3759854945842,0.0,-0.0019174611440092029,0.0008485023001282872,0.0091982481724506,0.12031620825432604,-0.020233648448100595,-0.03112297894951113,0.1597072320885582,-0.005250449463294869,0.2165858400017494,-0.010475814941315484,0.006097970777813491,0.06294213576704273,210.0
18,4.795875484111676,4.020857969012677,-1.2460189623701788e-08,6.271627888598729,288.37527603602786,0.0,-0.0018810031973442245,0.0009080791375069064,0.009028472446557564,0.12096585317777699,-0.02056630688321163,-0.031082170890051775,0.1566959130472078,-0.004038058579051733,0.21853397403209174,-0.010605177159582417,0.006551152509244977,0.0643349195606956,222.0
19,4.793622129738356,4.023209016803589,-1.2572817794797316e-08,6.271268431248257,288.3746034853598,0.0,-0.0018294994348924732,0.0009472774026359108,0.008854500512884106,0.1211025715456823,-0.02015479219936091,-0.031018473536029247,0.15387462342925837,-0.0028207103758579005,0.220333216307441,-0.010722576577878715,0.006952457996189409,0.06579744606714347,234.0
20,4.791467133435506,4.025010315416182,-1.2663391328576122e-08,6.270595336226424,288.3739257515853,0.0,-0.0017595783741038815,0.000944384935160738,0.008680362243383043,0.120833444498376,-0.01933664786836018,-0.03094216451329475,0.15113777656437627,-0.001608512720090209,0.22222947475586735,-0.010844806320843335,0.007458595494046847,0.06743558677222668,246.0
21,4.790247654217631,4.026502945298354,-1.2847685643085235e-08,6.27041994109242,288.37326033611566,0.0,-0.0017061811615097199,0.0009354551623146314,0.008505220861197232,0.12015909018788955,-0.01818788561572323,-0.030828621396446078,0.1486189929611415,-0.0004591824135468224,0.2244112025667257,-0.010608354359795851,0.007710657617259181,0.06928176079938726,258.0
22,4.7899636223851125,4.027929169789686,-1.2954194197709147e-08,6.270941586861179,288.3725983178315,0.0,-0.0016597620912368839,0.0009366470397011714,0.00832990967523806,0.11950876186756743,-0.016924992032242573,-0.030729776332762856,0.1463944262146416,0.0006582692817043091,0.22693782925172126,-0.010136792838822855,0.007674155971244033,0.07134312619571757,270.0
23,4.790056557876723,4.029899107363154,-1.3108904234960262e-08,6.272122295579968,288.37197890685263,0.0,-0.00160580375179829,0.0009352888186547034,0.008154995535550033,0.11873769299519743,-0.015748262454780077,-0.03061284983291514,0.1441072904316261,0.0016755334404811083,0.2297732718028641,-0.009853039925568146,0.007014209517726878,0.07357369689905194,282.0
24,4.790261787088786,4.032879095911225,-1.30511371122281e-08,6.274007994177571,288.3714176984223,0.0,-0.001556144264804051,0.0009210918993682345,0.007982328495046043,0.11785584534741426,-0.014407193323335179,-0.03048684533847206,0.14110009097833626,0.002628652410547113,0.23284802025168333,-0.0095908629139533,0.006002819579886719,0.07592715764537632,294.0
25,4.790493477227701,4.036631471594649,-1.3197007737210392e-08,6.276389743882721,288.370933885861,0.0,-0.001520698185693237,0.0008936395087922609,0.007812785574609342,0.11702556589240554,-0.012894344668429085,-0.030346438198147398,0.13772286663266517,0.0034930803723031635,0.23612352860035854,-0.009271185969280647,0.00541510562883084,0.07833163808738308,306.0
26,4.7903638026958495,4.040690357575554,-1.3643149912220219e-08,6.2786694256825015,288.3705155838166,0.0,-0.0014770712187406323,0.0008581116163441005,0.0076449708080210685,0.11589512845321524,-0.01126259278808067,-0.0301988217483411,0.1342118157922246,0.004315514273279446,0.23956252238614065,-0.008877613044416895,0.005048988739608862,0.08067468998272166,318.0
27,4.789852625341288,4.044668693684443,-1.4589316454704173e-08,6.2806136520991265,288.37019132425866,0.0,-0.0014318857162578628,0.0008214698281645422,0.007478842444471029,0.11445606917447497,-0.009574232595175487,-0.030017636240675945,0.13100341641443633,0.005048136289251816,0.2430236726727614,-0.008448993889269767,0.004685783561455251,0.0828397455964586,330.0
28,4.788738716521186,4.04920795162811,-1.5579511224608594e-08,6.282482383191639,288.3699429815477,0.0,-0.0013955738634326689,0.0007875110888069963,0.007313189566245331,0.11273789919515088,-0.007918288135093479,-0.029827124046296633,0.12828060691856086,0.005720672223356724,0.2462935705213787,-0.00809933138690725,0.0042600359006440104,0.08477067415808155,342.0
29,4.787103569768366,4.053934360874618,-1.562366054331929e-08,6.284097381253984,288.36976606829745,0.0,-0.001363690228923533,0.0007585135977424837,0.007147692561354289,0.11070993475616667,-0.00644311597102253,-0.029565993929423502,0.12606573440629953,0.006299224985199296,0.2492277037563325,-0.0076493087355554296,0.004063847492351746,0.08644614982419745,354.0
30,4.785895782588281,4.058994108581844,-1.7677188274105937e-08,6.28625748223113,288.3695965301148,0.0,-0.0013286212187739632,0.0007305959736030726,0.006980517914428934,0.10880521457996783,-0.005103052967724682,-0.02927933751582354,0.12379859774264275,0.0068555424210912375,0.2518920296190488,-0.007103360359077257,0.004546892470816496,0.08799269569235653,366.0
31,4.7852710150240565,4.06430684967083,-2.0165460761411413e-08,6.289047307493979,288.3694597442442,0.0,-0.001296717818312429,0.0007055861458917359,0.006821603505765977,0.10758716966671296,-0.003859352821867209,-0.02893405201421408,0.12163000666720987,0.00730634313426436,0.2542886548483207,-0.006755387478354345,0.005728675572512448,0.08939611621490559,378.0
32,4.784934396288146,4.070134840039268,-2.4958894778509022e-08,6.292391216239875,288.36927781479255,0.0,-0.0012610840004747567,0.0006781039233806379,0.006656207116736067,0.1065659066214852,-0.0028211727851911532,-0.028580126936755636,0.11896011213332565,0.007738173803975136,0.2566639938735482,-0.0065169884102046155,0.006887133999261811,0.09062125174576768,390.0
33,4.784543444973822,4.075327813461591,-2.613010843360019e-08,6.2953397224378564,288.36917704025905,0.0,-0.0012306407857007081,0.0006642124642575227,0.006493527233451831,0.1057778963747577,-0.002416354191903999,-0.028199102466117194,0.11640815023046425,0.008163392504996703,0.25907882627352014,-0.006650974582131873,0.007305282910949538,0.09184066651545544,402.0
34,4.7844477733436666,4.079999554011622,-2.7449425022206705e-08,6.298214042167812,288.369092864856,0.0,-0.0011993219114928306,0.0006640471011183721,0.006334265411092623,0.10518503211356292,-0.0024870213537350905,-0.02784114883100205,0.1138562166919465,0.00852021770975957,0.2613510985751641,-0.006711067702213139,0.007240817778142511,0.09291763363462842,414.0
35,4.7846148992218795,4.084022365043645,-2.8413236697198957e-08,6.300886051349597,288.36903778063277,0.0,-0.0011705646863142511,0.0006625720533554178,0.006174420422722708,0.10449254610634173,-0.0027549530692147243,-0.02749378715061037,0.11151620419484286,0.008871514475485323,0.26354576377161043,-0.006752330091238119,0.006803777993335501,0.09373524354364501,426.0
36,4.785044272555233,4.087587042663048,-2.9151106019275176e-08,6.303477821390931,288.36900275128016,0.0,-0.0011419454011363257,0.000643900598331738,0.006015481626406193,0.10369547830628105,-0.0032534819906250042,-0.027148366616921084,0.10909989284143198,0.009165273557145918,0.2655556140377017,-0.00681923106236263,0.0061971787435722665,0.09423842154002197,438.0
37,4.785374483996985,4.090844205189082,-2.974659498391169e-08,6.305824907688551,288.36898211125896,0.0,-0.0011084306377979337,0.0006163439433400855,0.005856757883655869,0.10306588249815306,-0.0038968424684517984,-0.026805604860941402,0.10686109368136511,0.009434079582427148,0.26718764227242625,-0.007024147640540791,0.005646893556513691,0.09438643667017797,450.0
38,4.78537290790028,4.094382636487391,-3.02358364331943e-08,6.3081537282439175,288.36897080208274,0.0,-0.0010624015742803881,0.0005802492079825623,0.0056988171216488664,0.10254102534270937,-0.004575073311857261,-0.026452724935894695,0.10527307938870988,0.00963919072765656,0.2682956820205847,-0.007138547468477853,0.005462225486645467,0.09421099657651304,462.0
39,4.78505906176579,4.098667288312287,-3.061724278962123e-08,6.3107470823476115,288.3689750591496,0.0,-0.0010144099789565733,0.0005343517431317318,0.005539832626385814,0.10177656693662832,-0.004914733301039782,-0.02606768480018687,0.10417880275248471,0.009790216060521132,0.2688848978282044,-0.007172839577502485,0.00543134472328809,0.09375000309472188,474.0
40,4.7844243892821465,4.103199654972623,-3.0917065530919896e-08,6.313270947893518,288.3689994143096,0.0,-0.000969870453340787,0.0004786088906139546,0.00538183605981163,0.10080568748588185,-0.00509219014819434,-0.02564473737034619,0.10329110823461132,0.009891027431199071,0.26903493426887326,-0.007120297521535166,0.005146676688659478,0.09305061964811928,486.0
41,4.783318341897386,4.108106502757966,-3.111077090250428e-08,6.315713275552261,288.36905053077203,0.0,-0.0009333072373136673,0.00042405939522801927,0.005225548893944184,0.09976063238678792,-0.0053829645149402975,-0.025194383561287715,0.10266198888611905,0.009923205669917643,0.26880901201959023,-0.007039027438691934,0.004621979003988436,0.09221770478419082,498.0
42,4.781996363778859,4.113077710762232,-3.123871013721649e-08,6.318041103767756,288.3691171511409,0.0,-0.0009012755748318389,0.00037103754044886183,0.00506952221700207,0.0986738024039955,-0.005416618784188567,-0.024731063273156422,0.10258838309050222,0.00989036282695335,0.26825815825033794,-0.006884655337133501,0.004129872444588638,0.0913461720634892,510.0
43,4.780203888358314,4.117940079684471,-3.1263338827973444e-08,6.3199320875006855,288.3691984661805,0.0,-0.0008641469655151688,0.00031496962696205157,0.0049125223911238875,0.09776170302378985,-0.005120914715943294,-0.0242691983760333,0.10291126204640993,0.009783752985669227,0.26741175903568815,-0.0066161855839534595,0.0036246816755714727,0.09052828898271038,522.0
44,4.777800405726886,4.122427479190478,-3.1239132119626485e-08,6.321071057925056,288.36928434718084,0.0,-0.0008185053028634935,0.00025914889141817913,0.004753841508794988,0.09704121954273787,-0.004418909697183517,-0.023833555577172715,0.1031821637649646,0.009594351728857222,0.266312521094469,-0.0064349402633726615,0.002956039516925949,0.08984584601271378,534.0
45,4.774644983494194,4.126414900479001,-3.112622045151978e-08,6.321275882090727,288.3693701498643,0.0,-0.0007692450062744621,0.00020687117114318032,0.004593392996830432,0.09643190854791546,-0.0035612122412424225,-0.023407307121370412,0.10334703216815251,0.009380131921742318,0.2649731263924743,-0.006406104031060498,0.0022192270573696844,0.0893309457181132,546.0
