# z, u, v, w
4.110000000000000000e+02 6.185565775352030116e+00 4.740243356596197770e-03 1.074599963815496016e-10
4.170000000000000000e+02 6.183994045261103523e+00 6.634495047428743027e-03 9.292026426817051794e-11
4.230000000000000000e+02 6.182554002338216392e+00 8.501492059024277903e-03 1.528432596439128669e-10
4.290000000000000000e+02 6.181248429711415859e+00 1.012241726741707100e-02 9.298376202932119916e-11
4.350000000000000000e+02 6.180094881927794326e+00 1.163556290496033617e-02 1.647447470344652022e-10
4.410000000000000000e+02 6.179015993968163478e+00 1.295351474861001009e-02 8.174328634579299723e-11
4.470000000000000000e+02 6.177925703812613634e+00 1.412236642102656335e-02 1.476091564270092942e-10
4.530000000000000000e+02 6.176770406188476947e+00 1.509056689395119749e-02 4.144700385317646766e-11
4.590000000000000000e+02 6.175577745659825091e+00 1.586312486972648109e-02 1.029871458974908332e-10
4.650000000000000000e+02 6.174561673099248083e+00 1.641254428611724214e-02 -1.798761153481292964e-12
4.710000000000000000e+02 6.173641712432035966e+00 1.680289105188663076e-02 3.360005207846735774e-11
4.770000000000000000e+02 6.172763462402238943e+00 1.703778348378721247e-02 -5.147239952969437195e-11
4.830000000000000000e+02 6.171730976521777379e+00 1.713239490562246115e-02 -2.212145032731184359e-11
4.890000000000000000e+02 6.170564591557531564e+00 1.701570937730293928e-02 -9.017354517283637264e-11
4.950000000000000000e+02 6.169240031587416517e+00 1.686990469787699731e-02 -6.435366352787897331e-11
5.010000000000000000e+02 6.167981945561317403e+00 1.669553581482291840e-02 -1.283346641206984616e-10
5.070000000000000000e+02 6.166680684864554784e+00 1.655345244128579932e-02 -1.382149297017316178e-10
5.130000000000000000e+02 6.165325066414807154e+00 1.634102283085901025e-02 -1.516087984166627633e-10
5.190000000000000000e+02 6.163961038903148726e+00 1.604909811584666682e-02 -1.372600073924279861e-10
5.250000000000000000e+02 6.162612033270826295e+00 1.554105746595466769e-02 -1.735247157149235181e-10
5.310000000000000000e+02 6.161285063322059052e+00 1.483571069056681402e-02 -1.868566248045553142e-10
5.370000000000000000e+02 6.159966639298398050e+00 1.405454933798586103e-02 -1.736871913043296321e-10
5.430000000000000000e+02 6.158646280118172278e+00 1.318941510581180150e-02 -1.693206241990810362e-10
5.490000000000000000e+02 6.157467653937652052e+00 1.245966286484447190e-02 -1.765273569284339646e-10
5.550000000000000000e+02 6.156360586988356864e+00 1.178887027233344043e-02 -1.534129862449219964e-10
5.610000000000000000e+02 6.155382644608655696e+00 1.116801646673763228e-02 -1.672055746811985900e-10
5.670000000000000000e+02 6.154388264080055571e+00 1.058344072753909446e-02 -1.377815707132804560e-10
5.730000000000000000e+02 6.153610984695577990e+00 1.007008568620526047e-02 -1.491719121502746053e-10
5.790000000000000000e+02 6.153065825374813613e+00 9.675364462777950175e-03 3.905881777478681893e-11
5.850000000000000000e+02 6.152564597592967921e+00 9.391353768856107107e-03 -2.364462521223069541e-11
5.910000000000000000e+02 6.152257265367111927e+00 9.080924626181475362e-03 -5.800222761502148356e-11
5.970000000000000000e+02 6.151951997012694129e+00 8.809943690259192453e-03 5.949815977446709825e-11
6.030000000000000000e+02 6.151587855394047288e+00 8.583567644582209069e-03 -4.532517927992746657e-11
6.090000000000000000e+02 6.151235690122666355e+00 8.450966727091573441e-03 5.999323518945066616e-11
6.150000000000000000e+02 6.150846320964095781e+00 8.565622296280422238e-03 -8.442379807668821131e-11
6.210000000000000000e+02 6.150334495262952395e+00 8.868457288251056433e-03 1.536372732911776002e-10
6.270000000000000000e+02 6.149825479910290937e+00 9.431342332072659845e-03 -9.921972755047494419e-11
6.330000000000000000e+02 6.149268760476674700e+00 1.010011152390029483e-02 1.486810648991760003e-10
6.390000000000000000e+02 6.148794817348026243e+00 1.088517083031184662e-02 -9.540930070924499400e-11
6.450000000000000000e+02 6.148448592288834114e+00 1.175805373726005430e-02 2.352028661986731826e-10
6.510000000000000000e+02 6.148106955369573079e+00 1.275939025486119704e-02 -2.478262230029234593e-11
6.570000000000000000e+02 6.147746185115071427e+00 1.378933949500473974e-02 3.005950186821601680e-10
6.630000000000000000e+02 6.147494069190909904e+00 1.472615513134330374e-02 2.071527151985285946e-10
6.690000000000000000e+02 6.147287292526557145e+00 1.572484121814519270e-02 4.592339358071875831e-10
6.750000000000000000e+02 6.147042494971052484e+00 1.680908125864869970e-02 3.125524767369784574e-10
6.810000000000000000e+02 6.146870243825989455e+00 1.794225908138734685e-02 6.285802898410759231e-10
6.870000000000000000e+02 6.146730612670939564e+00 1.919317321333654028e-02 3.501297605522235804e-10
6.930000000000000000e+02 6.146606603728558937e+00 2.060780270314043275e-02 7.432295492265360705e-10
6.990000000000000000e+02 6.146446384545643404e+00 2.222292779238897384e-02 7.838170915020921130e-10
7.050000000000000000e+02 6.146367158961058230e+00 2.390535936554334315e-02 8.519748050368187469e-10
7.110000000000000000e+02 6.146259853913535132e+00 2.568770069858039226e-02 4.450057453135937500e-10
7.170000000000000000e+02 6.146142047212908466e+00 2.748134471599498335e-02 7.749928433474818220e-10
7.230000000000000000e+02 6.145874722279999425e+00 2.952566979520188442e-02 7.081957579148199794e-10
7.290000000000000000e+02 6.145383222441489934e+00 3.169596799397628173e-02 1.018096692093782282e-09
7.350000000000000000e+02 6.144780054070204223e+00 3.408773503944307476e-02 1.167856931755481482e-09
7.410000000000000000e+02 6.144279208699071404e+00 3.650206033950015999e-02 1.230291766754764203e-09
7.470000000000000000e+02 6.143734418963430421e+00 3.897755077540253354e-02 1.044648969211629946e-09
7.530000000000000000e+02 6.143223687130578092e+00 4.138067376058365138e-02 8.745801968475838263e-10
7.590000000000000000e+02 6.142748032353076759e+00 4.365986585936446757e-02 1.689621041433414546e-09
7.650000000000000000e+02 6.142466219568466279e+00 4.570277725213705428e-02 1.583755899444479826e-09
7.710000000000000000e+02 6.142462008048187094e+00 4.796312366224226437e-02 1.385709060496153390e-09
7.770000000000000000e+02 6.142398320969227221e+00 5.000019535932480330e-02 1.535851898725219148e-09
7.830000000000000000e+02 6.142364518387659622e+00 5.206721385728759616e-02 1.769917378866101372e-09
7.890000000000000000e+02 6.142086162527434112e+00 5.389092090598000123e-02 1.420597828559033058e-09
7.950000000000000000e+02 6.141766811526289338e+00 5.569488093053365924e-02 1.716698057879241794e-09
8.010000000000000000e+02 6.141204596633583535e+00 5.723904468595469863e-02 1.330250808449545814e-09
8.070000000000000000e+02 6.140601202597396835e+00 5.857060237550416881e-02 1.614592491739588986e-09
8.130000000000000000e+02 6.140069090634797000e+00 5.954704868226410458e-02 1.195246573114296548e-09
8.190000000000000000e+02 6.139833986354449102e+00 6.044932944092302335e-02 1.419074169555406662e-09
8.250000000000000000e+02 6.139884714829430656e+00 6.127025924019070813e-02 1.043697752459952145e-09
8.310000000000000000e+02 6.140217645820478687e+00 6.224077710809830521e-02 1.189291466959950226e-09
8.370000000000000000e+02 6.140723377511537961e+00 6.343540424900384611e-02 8.593066508840851279e-10
8.430000000000000000e+02 6.141297063215604091e+00 6.492628836594008246e-02 9.608960220835495871e-10
8.490000000000000000e+02 6.141926021105454048e+00 6.667795411517328519e-02 7.549537025957047608e-10
8.550000000000000000e+02 6.142595579665042216e+00 6.876579278318631361e-02 7.806678179165561633e-10
8.610000000000000000e+02 6.143306111526571911e+00 7.124333138079154415e-02 6.693268860458743279e-10
8.670000000000000000e+02 6.143925103364143325e+00 7.384087714141798764e-02 7.183056293712004043e-10
8.730000000000000000e+02 6.144470318910711271e+00 7.650906161946237349e-02 7.122680882946735235e-10
8.790000000000000000e+02 6.145205664087167285e+00 7.924877969046818793e-02 7.219221073532079647e-10
8.850000000000000000e+02 6.146194346648033324e+00 8.180598308364271654e-02 6.502047389773555849e-10
8.910000000000000000e+02 6.147379553787120088e+00 8.421177780692480630e-02 6.305879410755548428e-10
8.970000000000000000e+02 6.148462569990932103e+00 8.639397195203440960e-02 6.601143164811345074e-10
9.030000000000000000e+02 6.149359248313373882e+00 8.832673779130402469e-02 6.249152707307845726e-10
9.090000000000000000e+02 6.150021688230074446e+00 9.009713122588636214e-02 5.083478986786233908e-10
9.150000000000000000e+02 6.150534673940730279e+00 9.180999751946081200e-02 5.224645613101787330e-10
9.210000000000000000e+02 6.151033675630412922e+00 9.347690455879277549e-02 5.977452581641163752e-10
9.270000000000000000e+02 6.151319610864737442e+00 9.514031140347233018e-02 7.319351631575028796e-10
9.330000000000000000e+02 6.151627519526102539e+00 9.660571356714379998e-02 5.334690491247010778e-10
9.390000000000000000e+02 6.151794049748278148e+00 9.803871754910613301e-02 7.714113488114062310e-10
9.450000000000000000e+02 6.152153636017009930e+00 9.922053132236807738e-02 5.058865636137427957e-10
9.510000000000000000e+02 6.152155993862034933e+00 1.001524907212061472e-01 9.004888715080595388e-10
9.570000000000000000e+02 6.152177467607936379e+00 1.007585749486138438e-01 6.919546916758998502e-10
9.630000000000000000e+02 6.151981006097570592e+00 1.012587199282742878e-01 1.232579527442627075e-09
9.690000000000000000e+02 6.152103743000124858e+00 1.015003515820353669e-01 9.216291208562297064e-10
9.750000000000000000e+02 6.152266549919864325e+00 1.014449196291699745e-01 6.750295039474190418e-10
9.810000000000000000e+02 6.152763138012375954e+00 1.009292530536217009e-01 9.732233353235884481e-10
9.870000000000000000e+02 6.153252749206421512e+00 9.981523325501270860e-02 5.323560396503076891e-10
9.930000000000000000e+02 6.153808492811281283e+00 9.773367977672518803e-02 9.144466275241527446e-10
9.990000000000000000e+02 6.154157346666121242e+00 9.500878378737892538e-02 3.691008615897453937e-10
1.005000000000000000e+03 6.154588875313652174e+00 9.153728648909885413e-02 9.977291463182624841e-10
1.011000000000000000e+03 6.155012811678083118e+00 8.730434318363750057e-02 3.675744239189015825e-10
1.017000000000000000e+03 6.155833761256674919e+00 8.246503181287936912e-02 1.014351876645480919e-09
1.023000000000000000e+03 6.156616076996609621e+00 7.677494312989092962e-02 4.805163626652638515e-10
1.029000000000000000e+03 6.158078988638028939e+00 7.004449087420769327e-02 1.076824383435194933e-09
1.035000000000000000e+03 6.160038422164244132e+00 6.315795596845545645e-02 6.266041535199335761e-10
1.041000000000000000e+03 6.163645362613941359e+00 5.595043977739081603e-02 1.135773604069909361e-09
1.047000000000000000e+03 6.168204971856932950e+00 4.996969403423973111e-02 9.441948061491304997e-10
1.053000000000000000e+03 6.176365663143546847e+00 4.455597501122877252e-02 1.157885542982221653e-09
1.059000000000000000e+03 6.188472333342460274e+00 3.942237683577082263e-02 9.699339318395331649e-10
1.065000000000000000e+03 6.205751241511365812e+00 2.435367345627697036e-02 1.203461106964466025e-09
1.071000000000000000e+03 6.230668888825645624e+00 -3.192332020245942058e-03 8.868008762854337585e-10
1.077000000000000000e+03 6.265452385301347071e+00 -7.159030986937808816e-02 1.048247010115988188e-09
1.083000000000000000e+03 6.318065677043341211e+00 -1.771248080599999164e-01 9.817170996256506283e-10
1.089000000000000000e+03 6.388736591034941625e+00 -3.299769621032447309e-01 9.857792282512487447e-10
1.095000000000000000e+03 6.455683548158775764e+00 -4.695296214312185690e-01 6.573117713044783052e-10
1.101000000000000000e+03 6.493874777598299453e+00 -5.325444801128438321e-01 6.982491827293045688e-10
1.107000000000000000e+03 6.510609410926265106e+00 -5.516429242605225269e-01 7.723401407091882051e-10
1.113000000000000000e+03 6.508693104128084883e+00 -5.388227396361692234e-01 7.704634654395618885e-10
1.119000000000000000e+03 6.500448480028209630e+00 -5.242120114544669418e-01 9.737909531277358467e-10
1.125000000000000000e+03 6.486821019551809897e+00 -5.151896857924547213e-01 6.261665972372565327e-10
1.131000000000000000e+03 6.479577384854336763e+00 -5.114342158225424484e-01 1.010753261384270516e-09
1.137000000000000000e+03 6.470292900009457782e+00 -5.148375146915931122e-01 6.366028709141580529e-10
1.143000000000000000e+03 6.467601069696547356e+00 -5.268343820568091029e-01 1.012998761303634551e-09
1.149000000000000000e+03 6.472125584154393430e+00 -5.462159744817864926e-01 7.161513255559880650e-10
1.155000000000000000e+03 6.482499042588463212e+00 -5.652281957161611192e-01 9.138741880291078985e-10
1.161000000000000000e+03 6.489763849748911184e+00 -5.765065028441772599e-01 3.154180276112934130e-10
1.167000000000000000e+03 6.492787600852810037e+00 -5.808067339659308548e-01 5.327052803561353529e-10
1.173000000000000000e+03 6.493039178126237765e+00 -5.827793205148660283e-01 9.287387823958561461e-11
1.179000000000000000e+03 6.492992450755728839e+00 -5.838509976157586490e-01 2.375629826852411571e-10
1.185000000000000000e+03 6.492412921666940839e+00 -5.840830606072626718e-01 -1.137795181317633704e-10
1.191000000000000000e+03 6.492423164633530419e+00 -5.833004167747826152e-01 -2.807038552274493293e-11
1.197000000000000000e+03 6.492328569790062787e+00 -5.816455091087753271e-01 -2.735531532497678120e-10
1.203000000000000000e+03 6.492455041826833195e+00 -5.801295141279094736e-01 -2.344461418024511344e-10
1.209000000000000000e+03 6.491948706404251368e+00 -5.796472450219177786e-01 -3.737925194214853019e-10
1.215000000000000000e+03 6.491547467737857957e+00 -5.800191022528299323e-01 -3.661148219399589349e-10
1.221000000000000000e+03 6.491134738657503789e+00 -5.802008095493673689e-01 -4.304093520540746100e-10
1.227000000000000000e+03 6.491042579511555388e+00 -5.802836358417192697e-01 -4.322016873993788415e-10
1.233000000000000000e+03 6.490924674035135844e+00 -5.802745122198332828e-01 -4.344267218148255650e-10
1.239000000000000000e+03 6.491042843168282062e+00 -5.802793292826645688e-01 -4.071310647855679097e-10
1.245000000000000000e+03 6.491021167364691813e+00 -5.803179332278914915e-01 -4.170189817128974664e-10
1.251000000000000000e+03 6.490912354099480197e+00 -5.804436500238279173e-01 -3.895040182925425875e-10
1.257000000000000000e+03 6.490873184756960512e+00 -5.804794634917374019e-01 -3.582930248728377757e-10
1.263000000000000000e+03 6.490792986635453232e+00 -5.804998546007682503e-01 -3.779680928904158287e-10
1.269000000000000000e+03 6.490785149403255794e+00 -5.804698954794813570e-01 -3.440051203078367742e-10
1.275000000000000000e+03 6.490736604861836234e+00 -5.804515783815662466e-01 -2.743309823510579682e-10
1.281000000000000000e+03 6.490701549668020931e+00 -5.804126554186097575e-01 -3.194832688025584096e-10
1.287000000000000000e+03 6.490659680505052265e+00 -5.803840966480882102e-01 -4.043148611969482972e-10
1.293000000000000000e+03 6.490601007892065510e+00 -5.803918605822397936e-01 -3.864415667034609642e-10
1.299000000000000000e+03 6.490570816783597152e+00 -5.803763784228620493e-01 -3.635074925054470525e-10
1.305000000000000000e+03 6.490533932771710646e+00 -5.803603270196988628e-01 -3.063207393556095742e-10
1.311000000000000000e+03 6.490484170176801015e+00 -5.803619428372026601e-01 -2.227833683128027795e-10
1.317000000000000000e+03 6.490444654777161482e+00 -5.803368505388802889e-01 -2.682359152120621706e-10
1.323000000000000000e+03 6.490420856409971684e+00 -5.803582942049584359e-01 -2.656086531652698516e-10
1.329000000000000000e+03 6.490413615443454631e+00 -5.803641482166118637e-01 -3.805200112782634883e-10
1.335000000000000000e+03 6.490353415144484828e+00 -5.804080083382125999e-01 -7.769599582322302716e-11
1.341000000000000000e+03 6.490192192143566352e+00 -5.803581882011529247e-01 -1.526333065804745661e-10
1.347000000000000000e+03 6.490175254166604013e+00 -5.803097672336804402e-01 -1.347447873052822194e-10
1.353000000000000000e+03 6.490278178259497821e+00 -5.803237307351823970e-01 -1.172635301908880302e-10
1.359000000000000000e+03 6.490312934487115548e+00 -5.803361636186322725e-01 -1.669008374501823453e-10
1.365000000000000000e+03 6.490281501724330049e+00 -5.803478086609848985e-01 -1.780055453377864875e-10
1.371000000000000000e+03 6.490272251127304770e+00 -5.803703693239140593e-01 -1.809727900341803869e-10
1.377000000000000000e+03 6.490241961482126065e+00 -5.803732081435430956e-01 -1.859311419551818532e-10
1.383000000000000000e+03 6.490234603899486920e+00 -5.803733758396759645e-01 -1.359270052841754300e-10
1.389000000000000000e+03 6.490241182201304859e+00 -5.803822107733166424e-01 -2.460560379322890907e-10
1.395000000000000000e+03 6.490252394992277907e+00 -5.803883580545793341e-01 -9.148558248548740519e-11
1.401000000000000000e+03 6.490261724976642554e+00 -5.803951359079424499e-01 -2.172645857614953488e-10
1.407000000000000000e+03 6.490275367163608422e+00 -5.804036233519306309e-01 -5.529552592160121223e-11
1.413000000000000000e+03 6.490288751805443290e+00 -5.804105751852975947e-01 -2.578806903832990716e-10
1.419000000000000000e+03 6.490303972432914570e+00 -5.804171609734617432e-01 -8.190177101181418535e-11
1.425000000000000000e+03 6.490319208890799274e+00 -5.804249552098523779e-01 -2.808094128526618926e-10
1.431000000000000000e+03 6.490334756277398753e+00 -5.804332340259088507e-01 -2.562186385264637252e-10
1.437000000000000000e+03 6.490350620971288009e+00 -5.804428399731116350e-01 -3.923011845722857762e-10
1.443000000000000000e+03 6.490367552791934003e+00 -5.804539105453331294e-01 -2.976402377324520636e-10
1.449000000000000000e+03 6.490385276086535704e+00 -5.804658335612356002e-01 -5.138278015735030740e-10
1.455000000000000000e+03 6.490403897498534747e+00 -5.804784623156349355e-01 -2.714146100091539506e-10
1.461000000000000000e+03 6.490422673248392726e+00 -5.804906671880939451e-01 -5.917350374112412825e-10
1.467000000000000000e+03 6.490441941193824782e+00 -5.805010041651900154e-01 -6.753365772496921185e-10
1.473000000000000000e+03 6.490460570737070611e+00 -5.805088520888566084e-01 -6.638719422880152426e-10
1.479000000000000000e+03 6.490478156160207845e+00 -5.805127925250772591e-01 -2.846411351073124169e-10
1.485000000000000000e+03 6.490495446959100967e+00 -5.805143282458760101e-01 -5.686605842712314422e-10
1.491000000000000000e+03 6.490509481216892418e+00 -5.805129163652777979e-01 -4.620637686151042302e-10
