# z, uu, uv, uw, vv, vw, ww
1.170000000000000000e+02 1.174243190999077757e-01 1.165016584207147383e-02 -3.899103966792943216e-02 1.682459402794452552e-01 2.680602897223414299e-03 1.586827489379969980e-01
1.230000000000000000e+02 1.147867939680630861e-01 1.071852600245667107e-02 -3.865021741935067978e-02 1.640294229357950884e-01 2.719547547649603728e-03 1.618913156579167012e-01
1.290000000000000000e+02 1.123301274722468129e-01 9.857755695829525239e-03 -3.836283093935322075e-02 1.602920942375228308e-01 2.744783100135767505e-03 1.651342278324131607e-01
1.350000000000000000e+02 1.100680104264019771e-01 9.124429314592081425e-03 -3.805290403347358352e-02 1.570222704556790694e-01 2.765997299055977104e-03 1.684286384736928266e-01
1.410000000000000000e+02 1.080214529433664861e-01 8.562567241654689409e-03 -3.778555181144834657e-02 1.541331385371454699e-01 2.780761540019976302e-03 1.717774523818766663e-01
1.470000000000000000e+02 1.059988509971475923e-01 8.158312049631296498e-03 -3.750280046267345790e-02 1.514537885695551866e-01 2.788278604877369483e-03 1.751658262258393717e-01
1.530000000000000000e+02 1.041121462324118702e-01 7.843744649950941741e-03 -3.724771660979618593e-02 1.489830836894074639e-01 2.789334550488669056e-03 1.785647490651118829e-01
1.590000000000000000e+02 1.022382056330515127e-01 7.587456939067907004e-03 -3.697705247806299528e-02 1.467562702631969029e-01 2.783073215496591982e-03 1.819774802748783948e-01
1.650000000000000000e+02 1.005556833073383699e-01 7.322716836084667592e-03 -3.674137505946426657e-02 1.447028889594164092e-01 2.775740252751032408e-03 1.853977313981513275e-01
1.710000000000000000e+02 9.879539905274646594e-02 7.084351648537058274e-03 -3.648468177097672488e-02 1.425702895701680406e-01 2.752072484458204394e-03 1.888429727109616485e-01
1.770000000000000000e+02 9.754953312184881653e-02 6.831474252273921945e-03 -3.627955240276750648e-02 1.405564169811323871e-01 2.747666440066107423e-03 1.922678551620407572e-01
1.830000000000000000e+02 9.595647282172803383e-02 6.578658393072105495e-03 -3.604293611784481488e-02 1.382139048948777260e-01 2.726353441987611377e-03 1.957274166965920215e-01
1.890000000000000000e+02 9.516514825963243163e-02 6.278868861314785069e-03 -3.586980787914724467e-02 1.364231898687120192e-01 2.730057217105793122e-03 1.990563023174460877e-01
1.950000000000000000e+02 9.404182223152988962e-02 5.837374025099371574e-03 -3.566008643542119966e-02 1.343812386580799656e-01 2.721146268565641756e-03 2.023752233037756643e-01
2.010000000000000000e+02 9.298859186863578374e-02 5.522297288472399410e-03 -3.545166722847602897e-02 1.323554724810427907e-01 2.696681747723308868e-03 2.057432692318370282e-01
2.070000000000000000e+02 9.235327196848421016e-02 5.238026413603978117e-03 -3.529565909107298949e-02 1.305814956001297988e-01 2.692172325533675158e-03 2.089218095666655617e-01
2.130000000000000000e+02 9.152152526469593818e-02 4.984478103104272168e-03 -3.510294129171800254e-02 1.288687275319183867e-01 2.668456277237372422e-03 2.120131023794546710e-01
2.190000000000000000e+02 9.079391078099037504e-02 4.775210669313922213e-03 -3.494684255249332766e-02 1.273423170901205326e-01 2.654820585270414174e-03 2.150273021796394457e-01
2.250000000000000000e+02 8.997304569202489721e-02 4.665881861171478073e-03 -3.476758530788722629e-02 1.259501560555158772e-01 2.628159802564554882e-03 2.180247847914518478e-01
2.310000000000000000e+02 8.928259452612541391e-02 4.630241899633870221e-03 -3.461156750496784812e-02 1.246687492695040672e-01 2.609395871190528602e-03 2.210059114572019145e-01
2.370000000000000000e+02 8.863275578665236187e-02 4.660482510769491452e-03 -3.443334289791016856e-02 1.234578000234612949e-01 2.592408647670551344e-03 2.239607705373683200e-01
2.430000000000000000e+02 8.806408994983150329e-02 4.620001926344196978e-03 -3.426434110755336576e-02 1.222777986465848760e-01 2.585571049451541436e-03 2.268622047603112146e-01
2.490000000000000000e+02 8.750786615083167019e-02 4.593035346424413981e-03 -3.407106933059171616e-02 1.213122132880027210e-01 2.592327090541004554e-03 2.297031637774799018e-01
2.550000000000000000e+02 8.704955830181690390e-02 4.589468642900102271e-03 -3.388275225976548205e-02 1.204961182945885195e-01 2.605871624221476647e-03 2.324686756429829582e-01
2.610000000000000000e+02 8.668720265794790936e-02 4.522510785341098127e-03 -3.368192677019342385e-02 1.196793276400931472e-01 2.628817521423952065e-03 2.351608801140227523e-01
2.670000000000000000e+02 8.648464934084108824e-02 4.317341679431718933e-03 -3.348271094359027422e-02 1.188402251185546044e-01 2.652556781951171273e-03 2.377949982926374495e-01
2.730000000000000000e+02 8.641101239281923085e-02 4.041085728899954099e-03 -3.328676312028673590e-02 1.180532934407593770e-01 2.680905121924502966e-03 2.403916604777013577e-01
2.790000000000000000e+02 8.642963270978794299e-02 3.698009655492481406e-03 -3.308692901784559409e-02 1.171945546668772958e-01 2.709276486034965792e-03 2.429690239634429982e-01
2.850000000000000000e+02 8.644280756882162520e-02 3.353286458899353874e-03 -3.289784282901871831e-02 1.162260321231108895e-01 2.742917781759311030e-03 2.455360467866127827e-01
2.910000000000000000e+02 8.646230261999790501e-02 2.981618731635202624e-03 -3.270291151041612027e-02 1.152117733330022542e-01 2.784684531634604773e-03 2.480937485353179039e-01
2.970000000000000000e+02 8.636338301040380472e-02 2.555758319792630733e-03 -3.251557077929836947e-02 1.141605593348784808e-01 2.835009181741081699e-03 2.506364172641384336e-01
3.030000000000000000e+02 8.631284482377703238e-02 2.130677160106727881e-03 -3.233291345045757881e-02 1.132068030000379782e-01 2.901060099774060985e-03 2.531305672287888497e-01
3.090000000000000000e+02 8.631557725047894758e-02 1.707668684088011141e-03 -3.216056204347162578e-02 1.123137844690199477e-01 2.979901542698295668e-03 2.555398347390931413e-01
3.150000000000000000e+02 8.636362644491479834e-02 1.306815694279181038e-03 -3.199295363253060881e-02 1.114346398594937282e-01 3.077185907710881362e-03 2.578542678958672951e-01
3.210000000000000000e+02 8.642606061436425291e-02 8.884231490941422527e-04 -3.182525461895997082e-02 1.106604495618319500e-01 3.184296811448386871e-03 2.600881766728833089e-01
3.270000000000000000e+02 8.650272272978321020e-02 5.468165989138689016e-04 -3.166464311804346315e-02 1.099625897700444305e-01 3.308160131074916206e-03 2.622565775514429376e-01
3.330000000000000000e+02 8.657806083407615372e-02 1.952957659287208713e-04 -3.148816781380394531e-02 1.093847453117241519e-01 3.436546779339339983e-03 2.643788190825200890e-01
3.390000000000000000e+02 8.657359688057626734e-02 -1.419851481016314802e-04 -3.132267393452053961e-02 1.088873085077614183e-01 3.580891693817952852e-03 2.664705109228464597e-01
3.450000000000000000e+02 8.652799749384565420e-02 -4.244084614525362093e-04 -3.113551031235003985e-02 1.084235577234456266e-01 3.720380386297925633e-03 2.685354193801547384e-01
3.510000000000000000e+02 8.641133602307742023e-02 -7.389247120833214140e-04 -3.096666226651531573e-02 1.078922847564937060e-01 3.878568684685008549e-03 2.705896076126790284e-01
3.570000000000000000e+02 8.625570867922671692e-02 -1.066077172134610729e-03 -3.076400869707703739e-02 1.073050736078107331e-01 4.028139809785411495e-03 2.726302061883636996e-01
3.630000000000000000e+02 8.585537360901331072e-02 -1.411005280018151793e-03 -3.058396740411559872e-02 1.066365795502841607e-01 4.201398629060892204e-03 2.746534761993492113e-01
