# z, uu, uv, uw, vv, vw, ww
2.430000000000000000e+02 1.589011493272511344e-01 -1.363080783771758106e-02 -3.621577385001506499e-02 1.505397053033494525e-01 -7.246041059301812533e-03 2.680620238319760817e-01
2.490000000000000000e+02 1.599504263281034400e-01 -1.267720759109712721e-02 -3.603234840212383300e-02 1.482939000016761377e-01 -6.994665938453432756e-03 2.704001693940366047e-01
2.550000000000000000e+02 1.607113835855664419e-01 -1.168727861145275014e-02 -3.584415617306348917e-02 1.459819356141877078e-01 -6.748757398608929044e-03 2.725287455166749417e-01
2.610000000000000000e+02 1.612837300837253462e-01 -1.068234066371805818e-02 -3.564764739722333514e-02 1.437058980917139683e-01 -6.497066758368206900e-03 2.744413727613761456e-01
2.670000000000000000e+02 1.616955269608825740e-01 -9.681526349221019484e-03 -3.545291598940754352e-02 1.413982740791351056e-01 -6.252521893798538254e-03 2.761494796505795657e-01
2.730000000000000000e+02 1.620086569432942769e-01 -8.732593549060202118e-03 -3.525362609509598288e-02 1.392152253436056697e-01 -5.999738225196692143e-03 2.776428121874437993e-01
2.790000000000000000e+02 1.619667468659444776e-01 -7.849904744547912469e-03 -3.505772540930496284e-02 1.370909134159062626e-01 -5.762451354226915193e-03 2.789337566526738366e-01
2.850000000000000000e+02 1.619313324136341381e-01 -7.150084796405573560e-03 -3.485966138972044354e-02 1.354888202556397969e-01 -5.513515278307571515e-03 2.799683112244400474e-01
2.910000000000000000e+02 1.616144468156524849e-01 -6.551404569807296220e-03 -3.466019858378113772e-02 1.339428731120889116e-01 -5.272683671091138620e-03 2.808175921201274128e-01
2.970000000000000000e+02 1.610694312871220613e-01 -6.145375950755442920e-03 -3.445709231192970595e-02 1.327627180263676876e-01 -5.045918516431502528e-03 2.815202235628174177e-01
3.030000000000000000e+02 1.604791387559687810e-01 -5.774843209147914255e-03 -3.426853385817507647e-02 1.318402761923674615e-01 -4.822149143677663050e-03 2.820183494406194313e-01
3.090000000000000000e+02 1.598360628190841071e-01 -5.422843785109231207e-03 -3.406818626973758674e-02 1.309980659157802263e-01 -4.612680102917359609e-03 2.823653015978949132e-01
3.150000000000000000e+02 1.592050863495064195e-01 -5.018261880378045194e-03 -3.388079776094950202e-02 1.302182819527767099e-01 -4.413649941040390969e-03 2.825782272742515255e-01
3.210000000000000000e+02 1.584811804268167756e-01 -4.537605199288711512e-03 -3.368776117197583991e-02 1.293757227519915509e-01 -4.224696429198504001e-03 2.826931302913003874e-01
3.270000000000000000e+02 1.576807623807576497e-01 -3.973771594906221581e-03 -3.350203303274548738e-02 1.284858682676361663e-01 -4.050653933061577200e-03 2.827321067567972745e-01
3.330000000000000000e+02 1.568354707052674046e-01 -3.348188878512927975e-03 -3.331154390465831255e-02 1.275394862210184332e-01 -3.885808891667562846e-03 2.827113933449012517e-01
3.390000000000000000e+02 1.559976506450063138e-01 -2.735782236842307022e-03 -3.312723529692709196e-02 1.264990142147620067e-01 -3.728278208965310567e-03 2.826293493321952455e-01
3.450000000000000000e+02 1.552022889555629837e-01 -2.165017797024116827e-03 -3.293896550414056323e-02 1.254845226025138039e-01 -3.573279825724350392e-03 2.824710824322678726e-01
3.510000000000000000e+02 1.544503552381622513e-01 -1.662453770847780289e-03 -3.275579134796231806e-02 1.245127352377204677e-01 -3.426457731889361556e-03 2.822180106023410850e-01
