# z, u, v, w
2.550000000000000000e+02 4.846101443119741781e+00 4.036309555546924166e+00 -1.090004258529324945e-10
2.610000000000000000e+02 4.846353168032598191e+00 4.035179595031823219e+00 -1.243386963104085243e-10
2.670000000000000000e+02 4.846680772448106467e+00 4.033817039985865271e+00 -3.816520200402087824e-11
2.730000000000000000e+02 4.847023422342342514e+00 4.032280857855083944e+00 -6.743903153364621939e-13
2.790000000000000000e+02 4.847284181595433949e+00 4.030544947475426021e+00 -1.662413530851853455e-10
2.850000000000000000e+02 4.847533408111678987e+00 4.028868703629377990e+00 -1.486575431424493844e-10
2.910000000000000000e+02 4.847828124945225525e+00 4.027036807208467906e+00 -7.050811108506079096e-11
2.970000000000000000e+02 4.847945870236949339e+00 4.025283741604406273e+00 -1.483648898311209037e-10
3.030000000000000000e+02 4.847997481488698135e+00 4.023345536318879923e+00 -7.736542502517675635e-11
3.090000000000000000e+02 4.847960577572408170e+00 4.021320704362202569e+00 -1.450227798560892974e-10
3.150000000000000000e+02 4.847987199785987578e+00 4.019053746413777439e+00 -1.534380715976189869e-10
3.210000000000000000e+02 4.848064833068910673e+00 4.016659324746373549e+00 -1.430322730804718358e-10
3.270000000000000000e+02 4.848234025917763645e+00 4.014166127851565236e+00 -4.245942718044629704e-11
3.330000000000000000e+02 4.848536556347256443e+00 4.011588792996839459e+00 -1.139493188592657193e-10
3.390000000000000000e+02 4.848934747055857919e+00 4.008918778395345939e+00 -8.044220202276571674e-11
3.450000000000000000e+02 4.849347011036143407e+00 4.006339529906155938e+00 -1.114579021200320230e-10
3.510000000000000000e+02 4.849750085387134924e+00 4.003790599921702054e+00 -1.139961062004328886e-10
3.570000000000000000e+02 4.850094869812907383e+00 4.001180656543855463e+00 -1.130388946240352124e-10
3.630000000000000000e+02 4.850318272127967845e+00 3.998402740618597573e+00 -8.400709172225055164e-11
3.690000000000000000e+02 4.850468449246732483e+00 3.995630441418543288e+00 -6.842486525654792651e-11
3.750000000000000000e+02 4.850520136076608146e+00 3.992804162513399202e+00 -1.255711079443727296e-10
3.810000000000000000e+02 4.850558112291267321e+00 3.990253169493107155e+00 -1.163648865556976501e-10
3.870000000000000000e+02 4.850548749411260019e+00 3.987472604383524022e+00 1.854441264197083654e-11
3.930000000000000000e+02 4.850472887779686992e+00 3.985041536522031524e+00 -6.232973668272856680e-12
3.990000000000000000e+02 4.850398719956833915e+00 3.982491829866793065e+00 3.037703359135479566e-11
4.050000000000000000e+02 4.850455001453350512e+00 3.980106768026359543e+00 4.055608805755253582e-11
4.110000000000000000e+02 4.850678819491476723e+00 3.977898776005639014e+00 3.681755128366527702e-11
4.170000000000000000e+02 4.851079333612542399e+00 3.976087125712441939e+00 8.099661257017368386e-11
